127.0.0.1 - - [28/Nov/2019:09:30:16 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 9029
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 200 65239
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/css/Header.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/image/ad1.png HTTP/1.1" 200 76397
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/css/Footer.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/uploadFile/coat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/image/test.PNG HTTP/1.1" 200 12992
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/uploadFile/CLOTH13.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/uploadFile/event21.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/image/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:17 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:18 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:23 +0900] "GET /Shopping_Mall/jsp/Product/Product_Detail.jsp?num=3 HTTP/1.1" 200 9959
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:23 +0900] "GET /Shopping_Mall/css/Product.css?after HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:23 +0900] "GET /Shopping_Mall/js/product_detail.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:23 +0900] "GET /Shopping_Mall/uploadFile/seller.png HTTP/1.1" 200 9281
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:35 +0900] "POST /Shopping_Mall/jsp/Cart/CartAdd.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:35 +0900] "GET /Shopping_Mall/css/Cart.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:30:35 +0900] "GET /Shopping_Mall/jsp/Cart/CartMain.jsp HTTP/1.1" 200 7094
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:40:49 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 9331
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:11 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10343
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:11 +0900] "GET /Shopping_Mall/jsp/uploadFile/event21.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:11 +0900] "GET /Shopping_Mall/jsp/uploadFile/CLOTH13.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:11 +0900] "GET /Shopping_Mall/jsp/uploadFile/coat.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:16 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10343
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:16 +0900] "GET /Shopping_Mall/jsp/uploadFile/CLOTH13.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:16 +0900] "GET /Shopping_Mall/jsp/uploadFile/coat.jpg HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:16 +0900] "GET /Shopping_Mall/jsp/uploadFile/event21.png HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/jsp/Main/MainPage.jsp HTTP/1.1" 200 10343
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/js/jquery.bxslider.js HTTP/1.1" 200 65239
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/js/topslide.js HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/image/logo.png HTTP/1.1" 200 1559
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/css/Main.css?after HTTP/1.1" 200 943
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/css/jquery.bxslider.css HTTP/1.1" 200 3872
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/image/ad1.png HTTP/1.1" 200 76397
0:0:0:0:0:0:0:1 - - [28/Nov/2019:09:50:18 +0900] "GET /Shopping_Mall/image/test.PNG HTTP/1.1" 200 12992
