zipcode,sido,gugun,dong,ri,bunji,seq
1158,서울,강북구,서울강북우체국사서함,,,1
1740,서울,노원구,서울노원우체국사서함,,,2
1805,서울,노원구,공릉동,사서함,77,3
2098,서울,중랑구,서울중랑우체국사서함,,,4
2490,서울,동대문구,서울청량우체국사서함,,,5
2586,서울,동대문구,동대문우체국사서함,,,6
2733,서울,성북구,서울성북우체국사서함,,,7
3187,서울,종로구,광화문우체국사서함,,,8
3306,서울,은평구,서울은평우체국사서함,,,9
3727,서울,서대문구,서대문우체국사서함,,,10
3735,서울,서대문구,서울충정로우체국사서함,,,11
4156,서울,마포구,서울마포우체국사서함,,,12
4386,서울,용산구,서울용산우체국사서함,,,13
4535,서울,중구,서울중앙우체국사서함,,,14
4715,서울,성동구,서울성동우체국사서함,,,15
5048,서울,광진구,서울광진우체국사서함,,,16
5050,서울,광진구,동서울우편집중국사서함,,,17
5350,서울,강동구,서울강동우체국사서함,,,18
5661,서울,송파구,서울송파우체국사서함,,,19
5775,서울,송파구,거여동,사서함,138,20
6104,서울,강남구,서울영동우체국사서함,,,21
6164,서울,강남구,무역센터우체국사서함,,,22
6336,서울,강남구,서울강남우체국사서함,,,23
6779,서울,서초구,서울서초우체국사서함,,,24
7056,서울,동작구,서울동작우체국사서함,,,25
7305,서울,영등포구,영등포우체국사서함,,,26
7328,서울,영등포구,여의도우체국사서함,,,27
7582,서울,강서구,서울강서우체국사서함,,,28
7988,서울,양천구,서울양천우체국사서함,,,29
8393,서울,구로구,구로디지털단지우체국사서함,,,30
8576,서울,금천구,서울금천우체국사서함,,,31
8755,서울,관악구,서울관악우체국사서함,,,32
10268,경기,고양시 덕양구,고양동,사서함,111,33
10268,경기,고양시 덕양구,대자동,사서함,111,34
10268,경기,고양시 덕양구,벽제동,사서함,111,35
10268,경기,고양시 덕양구,삼송동,사서함,111,36
10268,경기,고양시 덕양구,선유동,사서함,111,37
10268,경기,파주시,광탄면,영장리 사서함,111,38
10268,경기,파주시,월롱면,영태리 사서함,111,39
10304,경기,고양시 일산동구,풍동,사서함,110,40
10319,경기,파주시,검산동,사서함,110,41
10319,경기,파주시,광탄면,마장리 사서함,110,42
10319,경기,파주시,광탄면,분수리 사서함,110,43
10319,경기,파주시,목동동,사서함,110,44
10319,경기,파주시,월롱면,영태리 사서함,110,45
10319,경기,파주시,탄현면,갈현리 사서함,110,46
10319,경기,파주시,탄현면,금승리 사서함,110,47
10329,경기,고양시 일산동구,성석동,사서함,110,48
10401,경기,고양시 일산동구,고양일산우체국사서함,,,49
10449,경기,고양시 일산동구,고양우편집중국사서함,,,50
10460,경기,고양시 덕양구,주교동,사서함,110,51
10498,경기,고양시 덕양구,고양덕양우체국사서함,,,52
10538,경기,고양시 덕양구,대자동,사서함,86,53
10538,경기,고양시 덕양구,화전동,사서함,86,54
10538,경기,양주시,장흥면,교현리 사서함,86,55
10538,경기,양주시,장흥면,부곡리 사서함,86,56
10824,경기,파주시,문산우체국사서함,,,57
10915,경기,파주시,파주우체국사서함,,,58
10948,경기,파주시,광탄면,신산리 사서함,109,59
11013,경기,연천군,연천읍,고문리 사서함,94,60
11013,경기,연천군,연천읍,상리 사서함,106,61
11013,경기,연천군,연천읍,와초리 사서함,106,62
11013,경기,연천군,연천읍,차탄리 사서함,106,63
11013,경기,연천군,연천읍,통현리 사서함,106,64
11013,경기,연천군,연천읍,현가리 사서함,92,65
11021,경기,동두천시,하봉암동,사서함,106,66
11021,경기,연천군,신서면,내산리 사서함,106,67
11021,경기,연천군,신서면,대광리 사서함,106,68
11021,경기,연천군,신서면,도신리 사서함,106,69
11021,경기,연천군,청산면,궁평리 사서함,106,70
11021,경기,연천군,청산면,대전리 사서함,106,71
11021,경기,연천군,청산면,백의리 사서함,106,72
11021,경기,연천군,청산면,장탄2리 사서함,106,73
11021,경기,포천시,창수면,고소성리 사서함,106,74
11038,경기,연천군,전곡읍,간파리 사서함,92,75
11038,경기,연천군,전곡읍,고능리 사서함,94,76
11038,경기,연천군,전곡읍,신답리 사서함,106,77
11038,경기,연천군,전곡읍,양원리 사서함,92,78
11038,경기,연천군,전곡읍,은대리 사서함,106,79
11038,경기,연천군,전곡읍,전곡4리 사서함,106,80
11101,강원,철원군,갈말읍,문혜리 사서함,105,81
11101,강원,철원군,갈말읍,상사리 사서함,105,82
11101,경기,포천시,관인면,사정리 사서함,105,83
11101,경기,포천시,관인면,초과리 사서함,105,84
11101,경기,포천시,영북면,문암리 사서함,105,85
11112,경기,포천시,영북면,운천5리 사서함,103,86
11112,경기,포천시,이동면,노곡1리 사서함,117,87
11112,경기,포천시,이동면,노곡리 사서함,103,88
11112,경기,포천시,이동면,도평리 사서함,117,89
11112,경기,포천시,이동면,연곡리 사서함,103,90
11112,경기,포천시,이동면,장암리 사서함,117,91
11112,경기,포천시,일동면,길명리 사서함,103,92
11112,경기,포천시,일동면,사직리 사서함,103,93
11112,경기,포천시,일동면,수입리 사서함,103,94
11138,경기,포천시,신북면,심곡리 사서함,118,95
11158,경기,양주시,남방동,사서함,118,96
11158,경기,양주시,율정동,사서함,118,97
11158,경기,양주시,은현면,선암리 사서함,118,98
11158,경기,연천군,청산면,초성리 사서함,118,99
11158,경기,포천시,동교동,사서함,118,100
11158,경기,포천시,설운동,사서함,118,101
11158,경기,포천시,자작동,사서함,118,102
11158,경기,포천시,창수면,고소성리 사서함,118,103
11184,경기,포천시,소흘읍,무봉리 사서함,130,104
11184,경기,포천시,소흘읍,이동교리 사서함,130,105
11312,경기,동두천시,동두천우체국사서함,,,106
11335,경기,동두천시,상패동,사서함,92,107
11335,경기,양주시,남면,한산리 사서함,92,108
11335,경기,양주시,봉양동,사서함,92,109
11335,경기,양주시,은현면,선암리 사서함,92,110
11335,경기,양주시,은현면,용암리 사서함,92,111
11335,경기,연천군,군남면,옥계리 사서함,92,112
11335,경기,연천군,군남면,왕림리 사서함,92,113
11335,경기,연천군,군남면,진상리 사서함,92,114
11335,경기,연천군,군남면,황지리 사서함,92,115
11335,경기,연천군,미산면,동이리 사서함,92,116
11335,경기,연천군,미산면,백석리 사서함,92,117
11335,경기,연천군,왕징면,동중리 사서함,92,118
11335,경기,연천군,왕징면,무등리 사서함,92,119
11335,경기,연천군,왕징면,북삼리 사서함,92,120
11335,경기,연천군,중면,삼곶리 사서함,92,121
11335,경기,연천군,중면,적거리 사서함,92,122
11335,경기,연천군,중면,합수리 사서함,92,123
11335,경기,연천군,청산면,초성리 사서함,92,124
11335,경기,파주시,적성면,어유지리 사서함,92,125
11335,경기,파주시,적성면,적암리 사서함,92,126
11400,경기,양주시,남면,구암리 사서함,95,127
11400,경기,양주시,남면,매곡리 사서함,95,128
11400,경기,양주시,남면,상수리 사서함,95,129
11400,경기,양주시,남면,신산리 사서함,95,130
11400,경기,양주시,남면,한산리 사서함,95,131
11400,경기,연천군,백학면,노곡리 사서함,95,132
11400,경기,연천군,백학면,두일리 사서함,95,133
11400,경기,연천군,백학면,두현리 사서함,95,134
11400,경기,연천군,백학면,백령리 사서함,95,135
11400,경기,파주시,법원읍,오현리 사서함,95,136
11400,경기,파주시,법원읍,웅담리 사서함,95,137
11400,경기,파주시,적성면,객현리 사서함,95,138
11400,경기,파주시,적성면,구읍리 사서함,95,139
11400,경기,파주시,적성면,마지리 사서함,95,140
